nonlinearity,lambda,Delta,p_n,n_d,gen_error
sign,0.1,1.0,2.5,2.0,0.1402278422076153
sign,1.0,0.0,0.3,2.0,0.6731772891750002
sign,1.0,0.0,0.4,2.0,0.5965455657467245
sign,1.0,0.0,0.5,2.0,0.5387271671473778
sign,1.0,0.0,0.6,2.0,0.494908569105161
sign,1.0,0.0,0.7,2.0,0.4611583364365408
sign,1.0,0.0,0.8,2.0,0.4346525838026468
sign,1.0,0.0,0.9,2.0,0.41343203774651693
sign,1.0,0.0,1.0,2.0,0.396138715063607
sign,1.0,0.0,1.1,2.0,0.38181990486796136
sign,1.0,0.0,1.2,2.0,0.3697957396047742
sign,1.0,0.0,1.3,2.0,0.35957205163168793
sign,1.0,0.0,1.4,2.0,0.35078318627423555
sign,1.0,0.0,1.5,2.0,0.3431538038957531
sign,1.0,0.0,1.6,2.0,0.33647332037357314
sign,1.0,0.0,1.7,2.0,0.3305782923664472
sign,1.0,0.0,1.8,2.0,0.32534015537199623
sign,1.0,0.0,1.9,2.0,0.3206565349220353
sign,1.0,0.0,2.0,2.0,0.3164449931462311
sign,1.0,0.0,2.1,2.0,0.31263846165828657
sign,1.0,0.0,2.2,2.0,0.30918185996728964
sign,1.0,0.0,2.3,2.0,0.3060295594451049
sign,1.0,0.0,2.4,2.0,0.3031434586283184
sign,1.0,0.0,2.5,2.0,0.3004915061949134
sign,1.0,0.1,0.3,2.0,0.6841823773251304
sign,1.0,0.1,0.4,2.0,0.6079139619631428
sign,1.0,0.1,0.5,2.0,0.5499687622756114
sign,1.0,0.1,0.6,2.0,0.5058211840855068
sign,1.0,0.1,0.7,2.0,0.4716748774650008
sign,1.0,0.1,0.8,2.0,0.4447665892723346
sign,1.0,0.1,0.9,2.0,0.4231628017961938
sign,1.0,0.1,1.0,2.0,0.40551514617099593
sign,1.0,0.1,1.1,2.0,0.39087314652020577
sign,1.0,0.1,1.2,2.0,0.37855590742016787
sign,1.0,0.1,1.3,2.0,0.368066915336556
sign,1.0,0.1,1.4,2.0,0.3590377629259084
sign,1.0,0.1,1.5,2.0,0.3511903756998773
sign,1.0,0.1,1.6,2.0,0.34431162904502755
sign,1.0,0.1,1.7,2.0,0.33823579844535934
sign,1.0,0.1,1.8,2.0,0.3328323066906643
sign,1.0,0.1,1.9,2.0,0.3279970195638565
sign,1.0,0.1,2.0,2.0,0.32364596722445793
sign,1.0,0.1,2.1,2.0,0.3197107495399868
sign,1.0,0.1,2.2,2.0,0.3161351279683263
sign,1.0,0.1,2.3,2.0,0.3128724654511973
sign,1.0,0.1,2.4,2.0,0.30988378054413346
sign,1.0,0.1,2.5,2.0,0.30713625209811335
sign,1.0,0.5,0.3,2.0,0.7282027299256514
sign,1.0,0.5,0.4,2.0,0.6533875468288166
sign,1.0,0.5,0.5,2.0,0.594935142788546
